what,kind,bundleId,bundleVersion,description,time
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1298442359844
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298442360040
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1298442364263
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1298442366007
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298442366238
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1298442370199
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298442370411
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1298442373180
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298442373400
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1298442378467
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298442381438
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1298442382875
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298442383096
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1298442389672
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298442389870
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1298442390403
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298442390612
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1298442390827
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298442391079
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298442406041
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298442406191
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298442407388
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1298442409121
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298442409395
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1298442420672
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298442420876
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1298442428907
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298442429167
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1298442440392
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298442444087
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1298442452915
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298442453171
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1298442463334
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298442463532
