what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298436903580
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1298436913531
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1298436913741
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1298436919213
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298436919447
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1298436923134
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298436927005
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298437101420
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1298437108938
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298437110901
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1298437113482
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1298437113704
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1298437117409
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298437117819
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1298437120813
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298437134305
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298437169029
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1298437169059
